Gene condA condB condC condD controlA controlB
NM_001001130 1 3 0 0 1 0
NM_001001144 0 0 0 0 0 0
NM_001001152 0 0 0 0 0 0
NM_001001160 0 0 0 0 0 0
NM_001001176 0 0 0 0 0 0
NM_001001177 0 0 0 0 0 0
NM_001001178 0 0 0 0 0 0
NM_001001179 1 0 0 0 0 0
NM_001001180 0 0 0 0 0 0
NM_001001181 0 0 0 0 0 0
NM_001001182 0 1 0 0 2 0
NM_001001183 2 12 4 7 16 17
NM_001001184 130 271 119 181 223 198
NM_001001185 0 0 0 0 0 0
NM_001001186 1 0 1 0 1 1
NM_001001187 0 0 0 0 0 0
NM_001001295 0 0 0 0 0 0
NM_001001297 0 0 0 0 0 0
NM_001001309 0 0 0 0 0 0
NM_001001319 0 0 0 0 0 0
NM_001001320 0 0 0 0 0 0
NM_001001321 0 0 0 0 0 0
NM_001001322 0 0 0 0 0 0
NM_001001326 0 0 0 0 0 0
NM_001001327 0 0 0 0 0 0
NM_001001332 0 0 0 0 0 0
NM_001001333 5 5 4 1 14 13
NM_001001334 0 0 0 0 0 0
NM_001001335 0 0 0 0 0 0
NM_001001444 0 0 0 0 0 0
NM_001001445 0 0 0 0 0 0
NM_001001446 0 0 0 0 0 0
NM_001001447 0 0 0 0 0 0
NM_001001449 0 0 0 0 0 0
NM_001001450 0 0 0 0 0 0
NM_001001451 0 0 0 0 0 0
NM_001001452 0 0 0 0 0 0
NM_001001453 0 0 0 0 0 0
NM_001001454 0 0 0 0 0 0
NM_001001488 3 1 0 0 1 0
NM_001001489 0 0 0 0 0 0
NM_001001490 0 0 0 0 0 0
NM_001001491 2 4 1 8 11 9
NM_001001492 6 9 5 1 4 5
NM_001001493 4 12 1 6 3 7
NM_001001495 0 0 0 0 0 0
NM_001001496 0 0 0 0 0 0
NM_001001559 0 0 0 0 0 0
NM_001001565 0 0 0 0 0 0
NM_001001566 0 0 0 0 0 0
NM_001001602 0 0 0 0 0 0
NM_001001650 1 1 2 2 4 3
NM_001001714 0 0 0 0 0 0
NM_001001735 0 0 0 0 0 0
NM_001001738 0 1 0 0 0 3
NM_001001792 0 0 0 0 0 0
NM_001001796 0 0 0 0 0 0
NM_001001798 0 0 0 0 0 0
NM_001001803 0 0 0 0 0 0
NM_001001804 0 0 0 0 0 0
NM_001001805 0 0 0 0 0 0
NM_001001806 0 0 0 0 0 0
NM_001001807 0 0 0 0 0 0
NM_001001808 0 1 0 1 0 5
NM_001001809 0 0 0 0 0 0
NM_001001810 0 0 0 0 0 0
NM_001001880 0 0 0 0 0 0
NM_001001881 0 2 0 0 0 0
NM_001001882 0 0 0 0 0 0
NM_001001883 0 0 0 0 0 0
NM_001001884 1 0 0 0 0 1
NM_001001885 0 0 0 0 2 0
NM_001001892 0 0 0 1 1 0
NM_001001932 0 0 0 0 0 0
NM_001001979 0 0 0 0 0 0
NM_001001980 0 0 0 0 0 0
NM_001001981 0 0 0 0 0 0
NM_001001982 0 1 1 0 0 0
NM_001001983 20 77 26 35 52 72
NM_001001984 0 0 0 0 0 0
NM_001001985 0 5 0 0 1 0
NM_001001986 0 0 0 0 0 0
NM_001001999 0 0 0 0 0 0
NM_001002004 0 0 0 0 2 0
NM_001002005 0 0 0 0 1 1
NM_001002008 0 0 0 0 0 0
NM_001002011 0 0 0 0 0 0
NM_001002012 0 0 0 0 0 0
NM_001002238 0 0 0 0 0 0
NM_001002239 0 0 0 0 0 0
NM_001002240 0 0 0 0 0 0
NM_001002241 0 0 0 0 0 0
NM_001002267 1 0 0 0 1 0
NM_001002268 0 1 0 0 0 0
NM_001002272 0 0 0 0 0 0
NM_001002764 5 27 5 5 19 19
NM_001002775 0 0 0 0 0 0
NM_001002786 0 0 0 0 0 0
NM_001002787 1 0 2 0 1 0
NM_001002791 0 0 0 0 0 0
NM_001002842 0 0 0 1 0 1
NM_001002846 1 1 1 0 0 5
NM_001002894 1 4 1 1 4 7
NM_001002895 0 3 0 1 1 2
NM_001002896 1 1 0 0 3 0
NM_001002897 3 4 0 7 9 10
NM_001002898 0 0 0 0 0 0
NM_001002900 0 0 0 0 0 0
NM_001002927 0 0 0 0 0 0
NM_001002929 12 37 11 10 21 14
NM_001003393 0 0 0 0 0 0
NM_001003405 0 0 0 0 0 0
NM_001003664 0 0 0 0 0 0
NM_001003666 0 0 0 0 0 0
NM_001003667 0 0 1 0 1 0
NM_001003668 0 0 1 0 1 1
NM_001003670 0 0 0 0 0 0
NM_001003671 0 0 0 0 0 0
NM_001003672 0 0 0 0 0 0
NM_001003685 0 0 0 0 0 0
NM_001003717 0 0 0 0 0 0
NM_001003719 0 0 0 0 0 0
NM_001003817 1 0 0 1 0 1
NM_001003824 0 0 0 0 0 0
NM_001003825 0 0 0 0 0 0
NM_001003893 319 650 231 351 462 360
NM_001003898 0 0 0 0 0 0
NM_001003899 0 0 0 0 0 0
NM_001003908 0 0 0 0 0 1
NM_001003909 0 0 0 0 0 0
NM_001003910 0 0 0 0 0 0
NM_001003911 1 4 0 0 0 0
NM_001003912 0 3 0 0 0 0
NM_001003913 0 0 0 0 0 0
NM_001003915 0 0 0 0 0 0
NM_001003916 0 0 0 0 0 0
NM_001003917 0 0 0 0 0 0
NM_001003918 0 0 0 0 1 0
NM_001003919 0 0 0 1 0 0
NM_001003920 0 3 0 0 2 1
NM_001003933 0 0 0 0 0 0
NM_001003934 0 0 0 0 0 0
NM_001003939 0 0 0 0 0 0
NM_001003947 0 0 0 0 0 0
NM_001003948 0 0 0 0 0 0
NM_001003949 0 0 0 0 0 0
NM_001003950 0 0 0 0 1 0
NM_001003951 0 0 0 0 0 0
NM_001003952 0 0 0 0 0 0
NM_001003953 0 1 0 0 1 2
NM_001003955 0 0 0 0 0 0
NM_001003960 0 0 0 0 0 0
NM_001003961 0 0 0 0 0 0
NM_001003963 0 0 0 0 0 0
NM_001003971 0 0 0 0 0 0
NM_001003972 0 0 0 0 0 0
NM_001003973 0 0 0 0 0 0
NM_001004025 0 0 0 0 0 0
NM_001004061 0 0 0 0 0 0
NM_001004062 0 0 0 1 0 0
NM_001004066 0 0 0 0 0 0
NM_001004139 0 0 0 0 0 0
NM_001004140 0 0 0 0 0 0
NM_001004141 0 0 0 0 0 0
NM_001004142 0 0 0 0 0 0
NM_001004143 0 0 0 0 0 0
NM_001004144 0 2 1 0 1 1
NM_001004145 0 0 0 0 0 0
NM_001004147 0 1 0 0 0 0
NM_001004148 0 0 0 0 0 0
NM_001004149 0 0 0 0 0 0
NM_001004150 0 0 0 0 0 0
NM_001004151 0 0 0 0 0 0
NM_001004152 0 0 0 0 0 0
NM_001004153 0 0 0 0 0 0
NM_001004154 0 2 0 0 1 0
NM_001004155 0 0 0 0 0 0
NM_001004157 0 0 0 0 0 1
NM_001004158 0 0 0 0 0 0
NM_001004159 0 0 0 0 0 0
NM_001004164 0 0 0 0 1 0
NM_001004173 9 21 8 7 25 21
NM_001004174 0 0 0 0 0 0
NM_001004176 0 1 0 0 0 1
NM_001004177 0 0 0 0 0 0
NM_001004178 0 0 0 0 0 0
NM_001004180 0 0 0 0 0 0
NM_001004182 0 0 0 0 0 0
NM_001004184 0 3 0 1 3 2
NM_001004185 0 0 1 0 2 0
NM_001004187 0 0 0 0 0 0
NM_001004190 0 0 0 0 0 0
NM_001004191 0 2 1 0 2 5
NM_001004192 0 0 0 0 0 0
NM_001004193 0 0 0 0 0 0
NM_001004194 0 0 0 0 0 0
NM_001004293 0 0 0 0 0 0
NM_001004357 0 0 0 0 0 0
NM_001004359 0 0 0 0 0 0
NM_001004361 0 0 0 0 0 0
NM_001004362 0 0 0 0 0 0
NM_001004363 0 0 0 0 0 1
NM_001004364 0 0 0 0 0 0
NM_001004365 0 0 0 0 0 0
NM_001004366 0 1 0 0 0 0
NM_001004367 0 0 0 0 0 0
NM_001004435 0 0 0 0 0 0
NM_001004436 0 0 0 0 0 0
NM_001004455 0 0 0 0 0 0
NM_001004468 0 2 0 1 4 0
NM_001004721 0 0 0 0 0 0
NM_001004761 0 0 0 0 0 0
NM_001004762 0 0 0 0 0 0
NM_001005223 7 14 10 18 30 26
NM_001005225 0 0 0 0 0 0
NM_001005227 0 0 0 0 0 0
NM_001005230 0 0 0 0 0 0
NM_001005232 0 0 0 0 0 0
NM_001005247 0 0 0 0 0 0
NM_001005248 0 0 0 0 0 0
NM_001005331 0 0 0 0 0 0
NM_001005341 0 0 0 0 0 0
NM_001005342 3 2 2 0 1 4
NM_001005343 0 0 0 0 0 0
NM_001005358 0 0 0 0 0 0
NM_001005370 0 0 0 0 0 0
NM_001005371 0 0 0 0 0 0
NM_001005385 0 0 0 0 0 0
NM_001005419 0 0 0 0 1 2
NM_001005420 0 0 2 1 1 0
NM_001005421 0 0 0 0 0 0
NM_001005422 0 0 0 0 0 0
NM_001005423 0 0 0 0 0 0
NM_001005424 0 0 1 0 0 0
NM_001005425 0 0 0 0 0 0
NM_001005426 0 2 1 0 0 1
NM_001005475 0 0 0 0 0 0
NM_001005477 0 0 0 0 0 0
NM_001005481 0 0 0 0 0 0
NM_001005485 0 0 0 0 0 0
NM_001005488 0 0 0 0 0 0
NM_001005506 0 0 0 0 0 0
NM_001005507 0 0 0 0 1 0
NM_001005508 1 1 0 0 0 1
NM_001005509 4 9 4 1 13 12
NM_001005510 0 0 0 0 0 0
NM_001005511 0 0 0 0 0 0
NM_001005520 0 0 0 0 0 0
NM_001005524 0 0 0 0 0 0
NM_001005525 0 0 0 0 0 0
NM_001005568 0 0 0 0 0 0
NM_001005569 0 0 0 0 0 0
NM_001005570 0 0 0 0 0 0
NM_001005605 0 1 0 0 0 0
NM_001005608 0 0 0 0 0 0
NM_001005740 0 0 0 0 0 0
NM_001005748 0 0 0 0 0 0
NM_001005767 0 0 1 0 1 0
NM_001005784 0 0 0 0 0 0
NM_001005787 0 0 0 0 0 0
NM_001005788 0 0 0 0 0 0
NM_001005846 0 0 0 0 0 0
NM_001005847 0 0 0 0 0 0
NM_001005854 0 0 0 0 0 0
NM_001005858 0 1 0 0 0 0
NM_001005859 0 0 0 0 0 0
NM_001005860 0 0 0 0 0 0
NM_001005863 0 0 0 0 0 0
NM_001005864 0 0 0 0 0 0
NM_001005865 0 0 0 0 0 0
NM_001005867 0 0 0 0 0 0
NM_001005868 0 0 0 0 0 0
NM_001005916 0 0 0 0 0 0
NM_001006664 0 0 0 0 0 0
NM_001006668 0 0 0 0 0 0
NM_001006669 0 0 0 0 0 0
NM_001006674 0 0 0 0 0 0
NM_001006675 1 0 0 0 0 0
NM_001006676 0 0 0 0 0 0
NM_001006677 0 0 0 0 0 0
NM_001006678 0 0 0 0 0 0
NM_001006679 0 0 0 0 0 0
NM_001006680 0 0 0 0 0 0
NM_001007077 0 0 0 0 0 0
NM_001007154 0 0 0 0 0 0
NM_001007220 0 0 0 0 0 0
NM_001007221 0 0 0 0 0 0
NM_001007222 0 0 0 0 0 0
NM_001007223 0 0 0 0 0 0
NM_001007266 0 0 0 0 0 0
NM_001007268 0 0 0 0 0 0
NM_001007460 0 0 0 0 0 0
NM_001007461 0 0 0 0 0 0
NM_001007462 0 0 0 0 0 0
NM_001007463 0 0 0 0 0 0
NM_001007465 0 0 0 0 0 0
